종목코드,종목명,시가총액
005930,삼성전자,389826800515000
373220,LG에너지솔루션,138294000000000
000660,SK하이닉스,64428209302500
207940,삼성바이오로직스,57793288000000
051910,LG화학,56826836115000
006400,삼성SDI,51917220150000
005935,삼성전자우,45834789190000
005380,현대차,41248643670000
005490,POSCO홀딩스,35815915905000
000270,기아,34253202821500
035420,NAVER,32317669745000
003670,포스코퓨처엠,29784608090000
035720,카카오,26783970494700
068270,셀트리온,24713820495000
012330,현대모비스,21497001432000
028260,삼성물산,20277248288500
105560,KB금융,19790618091200
066570,LG전자,18361284730800
055550,신한지주,17931348164500
096770,SK이노베이션,17892086634000
003550,LG,13905407781200
032830,삼성생명,12940000000000
034730,SK,12443715930000
034020,두산에너빌리티,12319345036900
086790,하나금융지주,12279994254000
015760,한국전력,12152379977610
033780,KT&G,11573757497100
323410,카카오뱅크,11347057860600
009150,삼성전기,11338503052800
010130,고려아연,11043915848000
352820,하이브,10751880620000
017670,SK텔레콤,10536815883600
011200,HMM,10440993239600
051900,LG생활건강,10104973459000
000810,삼성화재,9782903840500
329180,HD현대중공업,9383318361200
259960,크래프톤,9315695268000
010950,S-Oil,9175497548000
018260,삼성에스디에스,9122842620000
009830,한화솔루션,8989979632800
003490,대한항공,8597952434350
316140,우리금융지주,8423660551930
036570,엔씨소프트,8276666294000
024110,기업은행,8069949794280
030200,KT,8068354867200
377300,카카오페이,7913783667900
090430,아모레퍼시픽,7797084774700
011170,롯데케미칼,7716685587600
138040,메리츠금융지주,7489849810500
011070,LG이노텍,6129780713000
