date,미래에셋증권
2023-10-10,0.2177966666666667
2023-10-11,0.3199866666666666
2023-10-12,0.29017
2023-10-13,0.1634566666666666
2023-10-14,0.03058
2023-10-15,0.2048833333333333
2023-10-16,0.2500333333333334
2023-10-17,0.2622866666666667
2023-10-18,0.6728733333333334
2023-10-19,0.30399
2023-10-20,0.2814133333333333
2023-10-21,0.1213766666666666
2023-10-22,0.2883333333333332
2023-10-23,0.3742666666666668
2023-10-24,0.2213133333333333
2023-10-25,0.3522966666666666
2023-10-26,0.29739
2023-10-27,0.2364499999999999
2023-10-28,0.1659733333333333
2023-10-29,0.1181233333333333
