date,신한지주
2023-10-10,0.2837566666666667
2023-10-11,0.1532133333333333
2023-10-12,0.1922433333333333
2023-10-13,0.3029466666666667
2023-10-14,0.08317
2023-10-15,0.1825433333333333
2023-10-16,0.1608566666666666
2023-10-17,0.0785866666666666
2023-10-18,0.2071966666666666
2023-10-19,0.2997166666666667
2023-10-20,0.1510933333333333
2023-10-21,0.11682
2023-10-22,0.1868766666666666
2023-10-23,0.0004466666666666
2023-10-24,0.3869333333333333
2023-10-25,0.4244333333333334
2023-10-26,0.3604033333333334
2023-10-27,0.3280933333333334
2023-10-28,0.15084
2023-10-29,0.1171633333333333
