code,amount
005930,389826800515000
373220,138294000000000
000660,64428209302500
207940,57793288000000
051910,56826836115000
006400,51917220150000
005935,45834789190000
005380,41248643670000
005490,35815915905000
000270,34253202821500
035420,32317669745000
003670,29784608090000
035720,26783970494700
068270,24713820495000
012330,21497001432000
028260,20277248288500
105560,19790618091200
066570,18361284730800
055550,17931348164500
096770,17892086634000
003550,13905407781200
032830,12940000000000
034730,12443715930000
034020,12319345036900
086790,12279994254000
015760,12152379977610
033780,11573757497100
323410,11347057860600
009150,11338503052800
010130,11043915848000
352820,10751880620000
017670,10536815883600
011200,10440993239600
051900,10104973459000
000810,9782903840500
329180,9383318361200
259960,9315695268000
010950,9175497548000
018260,9122842620000
009830,8989979632800
003490,8597952434350
316140,8423660551930
036570,8276666294000
024110,8069949794280
030200,8068354867200
377300,7913783667900
090430,7797084774700
011170,7716685587600
138040,7489849810500
011070,6129780713000
